 ,purpose,avg_rate
0,credit_card,12.142888888888887
1,car,13.638571428571428
2,small_business,13.323000000000002
3,other,13.26818181818182
4,wedding,7.9
5,debt_consolidation,12.86431192660551
6,home_improvement,15.345999999999998
7,major_purchase,10.941666666666668
8,medical,10.636666666666665
9,moving,9.91
10,vacation,12.42
11,house,17.27
